transaction_id,user_id,amount,status,date
TR23001,1,150.25,completed,2023-01-05
TR23002,2,890.00,completed,2023-01-12
TR23003,3,45.00,cancelled,2023-01-15
TR23004,4,1200.50,completed,2023-02-01
TR23005,5,310.00,completed,2023-02-10
TR23006,6,55.75,completed,2023-02-14
TR23007,7,2100.00,completed,2023-03-01
TR23008,8,-50.00,completed,2023-03-05
TR23009,9,780.00,completed,2023-03-12
TR23010,10,12.50,completed,2023-03-20
TR23011,11,990.00,completed,2023-04-01
TR23012,12,30.00,cancelled,2023-04-10
TR23013,13,1500.00,completed,2023-04-15
TR23014,14,420.75,completed,2023-04-22
TR23015,15,85.00,completed,2023-05-01
TR23016,16,2300.00,completed,2023-05-10
TR23017,17,-10.00,completed,2023-05-15
TR23018,18,640.00,completed,2023-05-20
TR23019,19,115.00,completed,2023-06-01
TR23020,20,5000.00,completed,2023-06-10
TR23021,21,250.25,completed,2023-06-15
TR23022,22,95.00,cancelled,2023-06-22
TR23023,23,175.50,completed,2023-07-01
TR23024,24,3100.00,completed,2023-07-10
TR23025,25,890.00,completed,2023-07-15
TR23026,26,12.00,completed,2023-07-20
TR23027,27,450.00,completed,2023-08-01
TR23028,28,-100.00,completed,2023-08-10
TR23029,29,2200.75,completed,2023-08-15
TR23030,30,55.00,completed,2023-08-20
TR23031,31,180.00,completed,2023-09-01
TR23032,32,75.00,cancelled,2023-09-10
TR23033,33,1350.00,completed,2023-09-15
TR23034,34,920.00,completed,2023-09-22
TR23035,35,45.50,completed,2023-10-01
TR23036,36,2800.00,completed,2023-10-10
TR23037,37,-25.00,completed,2023-10-15
TR23038,38,710.00,completed,2023-10-20
TR23039,39,140.00,completed,2023-11-01
TR23040,40,4100.25,completed,2023-11-10
TR23041,41,315.50,completed,2023-11-15
TR23042,42,60.00,cancelled,2023-11-22
TR23043,43,195.00,completed,2023-12-01
TR23044,44,3200.00,completed,2023-12-10
TR23045,45,840.75,completed,2023-12-15
TR23046,46,15.00,completed,2023-12-20
TR23047,47,560.00,completed,2023-12-25
TR23048,48,-15.50,completed,2023-12-28
TR23049,49,2400.00,completed,2023-12-30
TR23050,50,95.25,completed,2023-12-31
